type,name,title,slug,url,contributor,code,stamp,board_type,board_circled_letters,board_extra_label,board_calendar_short,board_calendar,board_year,board_month,rom_kind,rom_label,rom_manufacturer,rom_manufacturer_name,rom_calendar_short,rom_calendar,rom_year,rom_month,rom_week,mapper_kind,mapper_label,mapper_manufacturer,mapper_manufacturer_name,mapper_calendar_short,mapper_calendar,mapper_year,mapper_month,mapper_week,ram_kind,ram_label,ram_manufacturer,ram_manufacturer_name,ram_calendar_short,ram_calendar,ram_year,ram_month,ram_week,ram_protector_kind,ram_protector_label,ram_protector_manufacturer,ram_protector_manufacturer_name,ram_protector_calendar_short,ram_protector_calendar,ram_protector_year,ram_protector_month,ram_protector_week,crystal_kind,crystal_label,crystal_manufacturer,crystal_manufacturer_name,crystal_calendar_short,crystal_calendar,crystal_year,crystal_month,crystal_week,rom2_kind,rom2_label,rom2_manufacturer,rom2_manufacturer_name,rom2_calendar_short,rom2_calendar,rom2_year,rom2_month,rom2_week,flash_kind,flash_label,flash_manufacturer,flash_manufacturer_name,flash_calendar_short,flash_calendar,flash_year,flash_month,flash_week,line_decoder_kind,line_decoder_label,line_decoder_manufacturer,line_decoder_manufacturer_name,line_decoder_calendar_short,line_decoder_calendar,line_decoder_year,line_decoder_month,line_decoder_week,eeprom_kind,eeprom_label,eeprom_manufacturer,eeprom_manufacturer_name,eeprom_calendar_short,eeprom_calendar,eeprom_year,eeprom_month,eeprom_week,accelerometer_kind,accelerometer_label,accelerometer_manufacturer,accelerometer_manufacturer_name,accelerometer_calendar_short,accelerometer_calendar,accelerometer_year,accelerometer_month,accelerometer_week,u4_kind,u4_label,u4_manufacturer,u4_manufacturer_name,u4_calendar_short,u4_calendar,u4_year,u4_month,u4_week,u5_kind,u5_label,u5_manufacturer,u5_manufacturer_name,u5_calendar_short,u5_calendar,u5_year,u5_month,u5_week,crystal
CGB-AFIP-0,"F-1 World Grand Prix (Europe) (En,Fr,De,Es)",Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/CGB-AFIP-0/mattcurrie-1.html,mattcurrie,CGB-AFIP-AUS,34,DMG-A08-01,I,6,Jun/1999,June/1999,1999,6,LH537M,CGB-AFIP-0 S LH537MTJ JAPAN G2 9929 D,Sharp,Sharp,29/1999,Week 29/1999,1999,,29,MBC5,MBC5 LZ9GB31 9922 A,Sharp,Sharp,22/1999,Week 22/1999,1999,,22,HY6264ALJ-10,HY6264A LJ-10 9814B KOREA,Hyundai,Hyundai,14/1998,Week 14/1998,1998,,14,MM1134A,915 134A,Mitsumi,Mitsumi,15/1999,Week 15/1999,1999,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-AHYE-0,"Super Mario Bros. Deluxe (USA, Europe)",Entry #1,irfon-jones-1,https://gbhwdb.gekkio.fi/cartridges/CGB-AHYE-0/irfon-jones-1.html,Irfon Jones,CGB-AHYE-USA,34,DMG-A06-01,K,6,Apr/1999,April/1999,1999,4,LH538W,CGB-AHYE-0 S LH538WV9 JAPAN F1 9916 D,Sharp,Sharp,16/1999,Week 16/1999,1999,,16,MBC5,MBC5 P-1 907U3L,,,7/1999,Week 7/1999,1999,,7,HY6264ALLJ-10,HY6264A LLJ-10 9902B KOREA,Hyundai,Hyundai,2/1999,Week 2/1999,1999,,2,BA6735,6735 8C19,ROHM,ROHM,1998,1998,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-AHYE-1,"Super Mario Bros. Deluxe (USA, Europe) (Rev 1)",Entry #1,creeps-1,https://gbhwdb.gekkio.fi/cartridges/CGB-AHYE-1/creeps-1.html,creeps,CGB-AHYE-USA-1,15A,DMG-A06-01,I,2,Jun/2001,June/2001,2001,6,MSM538011E,CGB-AHYE-1 F1 M538011E-L3 1315426,OKI,OKI,31/2001,Week 31/2001,2001,,31,MBC5,13D039T MBC5 2417,Texas Instruments,Texas Instruments,2001,2001,2001,,,W2465S-70LL,Winbond W2465S-70LL 120AD20206840-II1RA,Winbond,Winbond,20/2001,Week 20/2001,2001,,20,MM1134A,127 134A,Mitsumi,Mitsumi,27/2001,Week 27/2001,2001,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-AJUP-0,"Jeremy McGrath Supercross 2000 (USA, Europe)",Entry #1,missingno-force-1,https://gbhwdb.gekkio.fi/cartridges/CGB-AJUP-0/missingno-force-1.html,Missingno_force,CGB-AJUP-EUR,22,DMG-A07-01,MB,6,Feb/2000,February/2000,2000,2,MX23C8005-12,C001349-M MX23C8005-12 CGB-AJUP-0 F1 1B660181,Macronix,Macronix,13/2000,Week 13/2000,2000,,13,MBC5,MBC-5 BU3650K 006 H37,ROHM,ROHM,6/2000,Week 6/2000,2000,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-AQOP-0,Ready 2 Rumble Boxing (Europe),Entry #1,issotm-1,https://gbhwdb.gekkio.fi/cartridges/CGB-AQOP-0/issotm-1.html,ISSOtm,CGB-AQOP-EUU,20,DMG-A09-01,I,1,Jan/2000,January/2000,2000,1,LH537M,CGB-AQOP-0 S LH537MYR JAPAN G2 0009 D,Sharp,Sharp,9/2000,Week 9/2000,2000,,9,MBC5,MBC-5 BU3650K 004 H93,ROHM,ROHM,4/2000,Week 4/2000,2000,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-ASNP-0,"Smurfs Nightmare, The (Europe) (En,Fr,De,Es)",Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/CGB-ASNP-0/mattcurrie-1.html,mattcurrie,CGB-ASNP-EUR,22,DMG-A07-01,I,3,Jan/1999,January/1999,1999,1,MX23C8005-12,S990149-M MX23C8005-12 CGB-ASNP-0 F1 1A3238A1,Macronix,Macronix,1/1999,Week 1/1999,1999,,1,MBC5,MBC5 P-1 850U5L,,,50/1998,Week 50/1998,1998,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-AT8E-0,"Micro Machines 1 and 2 - Twin Turbo (USA, Europe)",Entry #1,mattcurrie-1,https://gbhwdb.gekkio.fi/cartridges/CGB-AT8E-0/mattcurrie-1.html,mattcurrie,CGB-AT8E-USA,13,DMG-A09-01,I,5,Nov/1999,November/1999,1999,11,N-16019WG5,CGB-AT8E-0 G2 N-16019WG5-M30 9949K7026,,,49/1999,Week 49/1999,1999,,49,MBC5,MBC5 P-1 945U5M,,,45/1999,Week 45/1999,1999,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-ATHD-0,Tarzan (Germany),Entry #1,missingno-force-1,https://gbhwdb.gekkio.fi/cartridges/CGB-ATHD-0/missingno-force-1.html,Missingno_force,CGB-ATHD-NOE,01,DMG-A09-10,I,5,Feb/2001,February/2001,2001,2,N-16019WG5,CGB-ATHD-0 G2 N-16019WG5-M21 0107K7005,,,7/2001,Week 7/2001,2001,,7,MBC5,11ARNRT MBC5 2417,Texas Instruments,Texas Instruments,2001,2001,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-ATHE-0,"Tarzan (USA, Europe)",Entry #1,irfon-jones-1,https://gbhwdb.gekkio.fi/cartridges/CGB-ATHE-0/irfon-jones-1.html,Irfon Jones,CGB-ATHE-USA,22,DMG-A09-01,I,2,Feb/2000,February/2000,2000,2,MX23C1603-12A,S001704-M MX23C1603-12A CGB-ATHE-0 G2 1B6659A1,Macronix,Macronix,17/2000,Week 17/2000,2000,,17,MBC5,MBC5 P-1 015U5M,,,15/2000,Week 15/2000,2000,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGB-ATQP-0,Tonka Raceway (Europe),Entry #1,issotm-1,https://gbhwdb.gekkio.fi/cartridges/CGB-ATQP-0/issotm-1.html,ISSOtm,CGB-ATQP-EUR,12,DMG-A07-01,MB,4,Jan/2000,January/2000,2000,1,MX23C8005-12,C001249-M MX23C8005-12 CGB-ATQP-0 F1 1B6511A1,Macronix,Macronix,12/2000,Week 12/2000,2000,,12,MBC5,MBC5 P-1 007U5M,,,7/2000,Week 7/2000,2000,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
